TICKER	FECHA	APERTURA	MAXIMO	MINIMO	ULTIMO	VOLUMEN
FDR	25/02/2015	3,1399	3,2099	3,0849	3,1399	11497
FDR	27/02/2015	3,1599	3,1849	3,1099	3,1449	16596
FDR	02/03/2015	3,1299	3,1999	3,1099	3,1099	10910
FDR	03/03/2015	3,1099	3,1999	3,0099	3,1049	37936
FDR	04/03/2015	3,0499	3,1899	3,0499	3,0999	28452
FDR	05/03/2015	3,1799	3,3099	3,0649	3,1749	32551
FDR	06/03/2015	3,2099	3,2899	3,0899	3,2349	54897
FDR	09/03/2015	3,1499	3,2999	3,1499	3,2099	38381
FDR	10/03/2015	3,2149	3,2799	3,1699	3,1899	9555
FDR	11/03/2015	3,1799	3,2599	3,1649	3,1799	21459
FDR	12/03/2015	3,2499	3,2499	3,1099	3,1099	47073
FDR	13/03/2015	3,1099	3,1649	3,0649	3,1099	19614
FDR	16/03/2015	3,0999	3,1199	3,0749	3,1199	17311
FDR	17/03/2015	3,0799	3,1099	3,0299	3,0799	14390
FDR	18/03/2015	3,1049	3,1049	3,0599	3,0599	35635
FDR	19/03/2015	3,0599	3,1149	3,0599	3,1149	18057
FDR	20/03/2015	3,0999	3,1349	3,0349	3,1199	37521
FDR	23/03/2015	3,0699	3,1599	3,0699	3,1399	14257
FDR	24/03/2015	3,1049	3,1549	3,0649	3,1199	8701
FDR	25/03/2015	3,1099	3,1549	3,0749	3,0799	12740
FDR	26/03/2015	3,0799	3,1249	3,0099	3,0549	31345
FDR	27/03/2015	2,9949	3,1399	2,9949	3,0949	8250
FDR	30/03/2015	3,0399	3,1049	3,0199	3,1049	19543
FDR	31/03/2015	3,0999	3,1349	3,0749	3,1099	8276
FDR	01/04/2015	3,1049	3,1549	3,1049	3,1399	15518
FDR	02/04/2015	3,1099	3,1599	3,1099	3,1099	2482
FDR	07/04/2015	3,1099	3,1599	3,0649	3,0799	7796
FDR	08/04/2015	3,0799	3,1599	3,0399	3,1499	22194
FDR	09/04/2015	3,1099	3,1599	3,1099	3,1099	19846
FDR	10/04/2015	3,1549	3,2049	3,1099	3,1249	54328
FDR	13/04/2015	3,1399	3,1499	3,0799	3,1399	13453
FDR	14/04/2015	3,1399	3,1999	3,1099	3,1299	7823
FDR	15/04/2015	3,1249	3,1249	3,0799	3,1099	11644
FDR	16/04/2015	3,1149	3,1899	3,0499	3,1149	8570
FDR	17/04/2015	3,1149	3,1699	3,0499	3,0749	26676
FDR	20/04/2015	3,0799	3,0799	2,8299	2,9699	126303
FDR	21/04/2015	3,0499	3,1099	2,9199	2,9749	57062
FDR	22/04/2015	2,9649	2,9649	2,9199	2,9349	10357
FDR	23/04/2015	2,9399	2,9399	2,8599	2,8799	32187
